(Respeten orden alfa y escriban tal cual como esta en la página [mayúsculas, tildes, etc])
formato: (personaje; alado:NORMAL:/data/personaje/normal.jpg, alado: LAT:/data/personaje/lat.jpg, alado:UP:/data/mario/up.jpg, alado:DOWN: /data/personaje/down.jpg; alado: /data/personaje/final.jpg; personaje.jpg; descripcion CHATGPT)
INDICE;NOMBRE;MOVIMIENTOS;FINALSMASH;IMAGEN;DESCRIPCION;PREGUNTAS;RESPUESTAS
1;Mario;Bola de fuego:NORMAL:/data/mario/normal.jpg,Capa:LAT:/data/mario/lat.jpg,Supersalto puñetazo:UP:/data/mario/up.jpg, F.L.U.D.D:DOWN:/data/mario/down.jpg;Mario final: /data/mario/final.jpg;mario.jpg;El plomero favorito de todos es un personaje equilibrado que está listo para enfrentar cualquier situación;¿En que videojuego Mario usa el F.L.U.D.D?; Super Mario Sunshine, Super Mario 64, Super Mario Galaxy, Super Mario RPG
1;Aldeano;Bolsillo:NORMAL:/data/aldeano/normal.jpg,Cohete Giroide:LAT:/data/aldeano/lat.jpg,Casco de globos:UP:/data/aldeano/up.jpg, Leñador:DOWN:/data/aldeano/down.jpg;La casa de mis sueños, Smash Final: /data/aldeano/final.jpg;villager.png; El tranquilo habitante de Animal Crossing, sorprende en el caos de Super Smash Bros con sus habilidades únicas;¿Cuál es el personaje que cobra la deuda inicial en Animal Crossing?;Tom Nook,Tendo,Nendo,Isabelle.
3;Bayonetta;Clímax balístico:NORMAL:/data/bayonetta/normal.jpg, Tacón lateral / Patada After Burner:LAT:/data/bayonetta/lat.jpg, Giro Brujo:UP:/data/bayonetta/up.jpg, Tiempo Brujo:DOWN: /data/bayonetta/down.jpg; Clímax infernal: /data/bayonetta/final.jpg;bayonetta.png; Esta bruja con un estilo único y letal desata magia y balas en su lucha contra los demonios,;¿Cuál es el nombre real de Bayonetta?;Cereza,Pétalo,Luisa,Andrea
4;Bowser; Aliento de fuego:NORMAL:/data/bowser/normal.jpg, Martinete giratorio: LAT:/data/bowser/lat.jpg, Fortaleza giratoria:UP:/data/bowser/up.jpg, Bomba Bowser:DOWN: /data/bowser/down.jpg; Giga Bowser: /data/bowser/final.jpg;bowser.png; También conocido como el Rey de los Koopas, gobierna el Reino Champiñón con garra de hierro, ¡y siempre planea nuevos y audaces secuestros de la Princesa Peach!;¿En cuál juego Bowser ayuda a Mario?;Super Mario RPG,Super Mario Galaxy,Mario y Luigi: Superstar Saga, Super Mario 64
5;Bowser Jr.; Cañón Minihelikoopa:NORMAL:/data/bowsy/normal.jpg, Atropello: LAT:/data/bowsy/lat.jpg, Salto explosivo:UP:/data/bowsy/up.jpg, Mechakoopa:DOWN: /data/bowsy/down.jpg; Mario Paint Oscuro: /data/bowsy/final.jpg;bowser_jr.png; Bowser Jr. pilota su fiel Minihelikoopa en las batallas, protegiéndose de los ataques mientras lanza travesuras desde el cielo;¿Cual fue la primera aparicion de Bowsy?;Super Mario Sunshine,Super Mario 64,Mario Kart 8, New Super Mario Bros
8;Olimar; Arrancar Pikmin:NORMAL:/data/olimar/normal.jpg, Lanzamiento de Pikmin: LAT:/data/olimar/lat.jpg, Pikmin alados:UP:/data/olimar/up.jpg, Reagrupación de Pikmin:DOWN: /data/capitán olimar/down.jpg; Final del día: /data/capitán olimar/final.jpg;olimar.jpg; el intrépido explorador de Pikmin, se aventura por mundos desconocidos en busca de piezas para reparar su nave espacial, el Dolphin. Con la ayuda de sus leales Pikmin, se enfrenta a desafíos alienígenas en una odisea cósmica;¿De cuantos dias es el tiempo limite en el que Olimar puede regresar a su planeta?;30,25,35,36
9;Capitán Falcon; Gancho de fuego:NORMAL:/data/captain_falcon/normal.jpg, Salto predador: LAT:/data/captain_falcon/lat.jpg, Propulsión Falcon:UP:/data/captain_falcon/up.jpg, Propulsión Falcon:DOWN: /data/captain_falcon/down.jpg; Blue Falcon: /data/captain_falcon/final.jpg; captain_falcon.png; También conocido como Douglas Jay Falcon, es un piloto de carreras y un valiente luchador conocido por su icónico vehículo, el Blue Falcon. Fuera de la pista, se convierte en un audaz combatiente que desafía a sus oponentes con movimientos poderosos y el famoso 'Falcon Punch';¿Como se llama la nave de Capitan Falcon?;Blue Falcon,King Falcon,Speed Falcon,Sky Falcon
10;Charizard; Lanzallamas:NORMAL:/data/charizard/normal.jpg, Envite Ígneo: LAT:/data/charizard/lat.jpg, Vuelo:UP:/data/charizard/up.jpg, Cambio de Pokémon:DOWN: /data/charizard/down.jpg; Remate Triple: /data/charizard/final.jpg;charizard.png; Pokémon tipo Fuego y Volador conocido por su imponente apariencia y habilidades ardientes. Con su aliento de fuego y sus alas poderosas, Charizard es un competidor formidable en la arena de combate de Super Smash Bros;¿En qué nivel Charmeleon evoluciona a Charizard?;36,35,37,38 
11;Chrom; Hoja Llameante:NORMAL:/data/chrom/normal.jpg, Danza Doble del Sable: LAT:/data/chrom/lat.jpg, Vuelo Impetuoso:UP:/data/chrom/up.jpg, Bloqueo:DOWN: /data/chrom/down.jpg; Éter del despertar: /data/chrom/final.jpg; chrom.jpg; Como el protagonista de Fire Emblem: Awakening, lidera a su ejército con coraje y honor. Con su espada Falchion en mano, se enfrenta a desafíos épicos y forja alianzas en un mundo de fantasía;¿Cual es la hermana mayor de Chrom?;Emmeryn,Lissa,Morgan,Lucina
12;Cloud Strife; Haz espada:NORMAL:/data/cloud_strife/normal.jpg, Corte cruzado: LAT:/data/cloud_strife/lat.jpg, Riesgo climático:UP:/data/cloud_strife/up.jpg, Cargalímites / Toque final:DOWN: /data/cloud_strife/down.jpg; Omnilátigo / Omnilátigo: /data/cloud_strife/final.jpg;cloud.png; Conocido por su cabellera y su gran espada Buster Sword, este guerrero exsoldado emprende aventuras en mundos de fantasía, luchando contra enemigos y enfrentando su propio pasado turbulento;¿Con quién logra derrotar a Sephirot en Crisis Core?;Zack,Aeris,Barret,Tifa 
13;Corrin; Tiro colmillo dragón:NORMAL:/data/corrin/normal.jpg, Embestida dragón: LAT:/data/corrin/lat.jpg, Ascenso dragón:UP:/data/corrin/up.jpg, Contrataque dragón:DOWN: /data/corrin/down.jpg; Bramido torrencial: /data/corrin/final.jpg; corrin.png; Corrin, el guerrero dragón de Fire Emblem, despliega transformaciones únicas y poderosos ataques en batallas épicas dentro de Super Smash Bros. Ultimate;¿Cual es el amigo de la infancia de Corrin?;Jakob,Xander,Silas,Ryoma
14;Robin; Trueno:NORMAL:/data/daraen/normal.jpg, Arcfire: LAT:/data/daraen/lat.jpg, Elwind:UP:/data/daraen/up.jpg, Nosferatu:DOWN: /data/daraen/down.jpg; Agrupación: /data/daraen/final.jpg;robin.png; Robin combina su habilidad en la magia y el combate cuerpo a cuerpo con la versatilidad de los tomes para mantener a sus oponentes a raya;¿Como se llama el descendiente fijo de Robin si se casa?;Morgan,Owain,Lucina,Severa
15;Diddy Kong; Cacahuetola:NORMAL:/data/diddy_kong/normal.jpg, Cabriola simiesca: LAT:/data/diddy_kong/lat.jpg, Barriles retropropulsados:UP:/data/diddy_kong/up.jpg, Monda de plátano:DOWN: /data/diddy_kong/down.jpg; Hiperbarriles retropropulsados: /data/diddy_kong/final.jpg;diddy_kong.png; Es un luchador rápido y ágil que utiliza su agilidad y habilidades acrobáticas para desplazarse por el campo de batalla. Además, puede utilizar su jetpack para recuperarse cuando es lanzado fuera del escenario;¿Como se llama el juego en el que aparecio por primera vez Diddy Kong?;Donkey Kong Country,Diddy Kong Racing,Donkey Kong Jr,Donkey Kong Country 2
16;Donkey Kong; Puñetazo gigantesco:NORMAL:/data/donkey_kong/normal.jpg, Cabezazo: LAT:/data/donkey kong/lat.jpg, Peonza Kong:UP:/data/donkey kong/up.jpg, Palmeo:DOWN: /data/donkey kong/down.jpg; Frenesí selvático: /data/donkey kong/final.jpg;donkey_kong.png; Es conocido por su increíble fuerza y ataques poderosos, como el puñetazo de viento y el famoso golpe en el suelo que crea ondas de choque;¿Como se llama el abuelo de Donkey Kong?;Cranky Kong,Funky Kong,Donkey Kong I, Donkey Kong IV
